LA Code,households,fuel_poor,proportion
E07000245,75405,7015,9.30309661163053
E07000246,67934,7329,10.788412282509494
E08000001,121698,16477,13.539252904731383
E08000002,81738,9563,11.699576696273459
E08000003,214163,38307,17.886843198871887
E08000004,93981,12095,12.869622583288113
E08000005,91622,12487,13.628822771823362
E08000006,108389,13881,12.806650121322274
E08000007,127771,13696,10.719177278099098
E08000008,99373,11757,11.831181508055508
E08000009,98880,11246,11.373381877022654
E08000010,142644,17022,11.933204340876587
E08000011,64293,8938,13.901979997822469
E08000012,216033,37982,17.58157318557813
E08000013,79348,9812,12.365781116096183
E08000014,123533,16133,13.059668266778917
E08000015,147015,19859,13.508145427337345
E08000016,104088,11141,10.703443240335101
E08000017,130745,14085,10.772878503958086
E08000018,112042,11272,10.060513021902501
E08000019,237868,25522,10.729480215918072
E08000020,92308,9985,10.81704727650908
E08000021,121192,15782,13.022311703742822
E08000022,94384,8819,9.343744702491948
E08000023,69540,7814,11.236698303134887
E08000024,123938,15678,12.649873323758653
E08000025,430251,69692,16.19798675656768
E08000026,134734,19852,14.734217049890896
E08000027,135971,15942,11.724558913297688
E08000028,127205,19383,15.237608584568216
E08000029,90097,8315,9.228942140137852
E08000030,112841,15404,13.651066544961493
E08000031,106935,15395,14.396596063028944
E08000032,205992,27767,13.47964969513379
E08000033,91535,9825,10.733599169716502
E08000034,179245,20389,11.374933749895394
E08000035,331714,36926,11.131878666562159
E08000036,145146,13830,9.528336984829068
E09000001,4516,191,4.229406554472985
E09000002,72014,9495,13.184936262393423
E09000003,140284,17346,12.3649168828947
E09000004,95673,9414,9.839766705340065
E09000005,113789,16929,14.877536492982626
E09000006,135155,12303,9.102881876364174
E09000007,100707,11739,11.656587923381691
E09000008,149787,17197,11.480969643560522
E09000009,128111,17439,13.612414234530993
E09000010,123718,15644,12.644885950306342
E09000011,104464,11796,11.29192831980395
E09000012,104854,12479,11.901310393499532
E09000013,83242,9749,11.711635953004492
E09000014,105113,15189,14.450163157744523
E09000015,86975,11816,13.585513078470827
E09000016,100381,9975,9.937139498510675
E09000017,103541,11878,11.471784124163376
E09000018,97913,12386,12.650005617231624
E09000019,96496,10055,10.420121041286686
E09000020,81194,9473,11.667118259969948
E09000021,65753,7192,10.937903973963165
E09000022,134086,13864,10.339632772996435
E09000023,119840,13090,10.922897196261683
E09000024,81471,9012,11.061604742791914
E09000025,104919,20060,19.11951124200574
E09000026,102386,14062,13.734299611274977
E09000027,82413,7706,9.35046655260699
E09000028,124192,11349,9.138269775830972
E09000029,80770,7319,9.061532747307169
E09000030,104400,11661,11.169540229885056
E09000031,99954,14562,14.568701602737258
E09000032,134622,13157,9.773291141121065
E09000033,109088,12397,11.364219712525667
