"","Table 2: Fuel poor households by administrative area [Notes 3 and 4], 2022","...2","...3","...4","...5","...6","...7"
"135","E11000005",NA,"West Midlands (Met County)",NA,"1171489","254926","21.76"
"136","E08000025",NA,NA,"Birmingham","438509","105201","23.99"
"137","E08000026",NA,NA,"Coventry","138897","30886","22.236000000000001"
"138","E08000027",NA,NA,"Dudley","141762","26711","18.841999999999999"
"139","E08000028",NA,NA,"Sandwell","134723","29683","22.032"
"140","E08000029",NA,NA,"Solihull","92611","13083","14.125999999999999"
"141","E08000030",NA,NA,"Walsall","116132","24371","20.984999999999999"
"142","E08000031",NA,NA,"Wolverhampton","108855","24991","22.957999999999998"
"143","E10000034",NA,"Worcestershire",NA,"268849","44382","16.5"
"144","E07000234",NA,NA,"Bromsgrove","42674","6066","14.214"
"145","E07000235",NA,NA,"Malvern Hills","36082","7007","19.419"
"146","E07000236",NA,NA,"Redditch","37630","5533","14.702999999999999"
"147","E07000237",NA,NA,"Worcester","46267","7436","16.071000000000002"
"148","E07000238",NA,NA,"Wychavon","59336","9768","16.462"
"149","E07000239",NA,NA,"Wyre Forest","46860","8572","18.292000000000002"
"150","E12000006","EAST",NA,NA,"2687733","269281","10.019"
"151","E06000055",NA,"Bedford",NA,"76623","7607","9.9269999999999996"
"152","E06000056",NA,"Central Bedfordshire",NA,"123380","10445","8.4649999999999999"
"153","E06000032",NA,"Luton",NA,"80760","10520","13.026"
"154","E06000031",NA,"Peterborough",NA,"86474","8731","10.096"
"155","E06000033",NA,"Southend-on-Sea",NA,"80051","9711","12.131"
"156","E06000034",NA,"Thurrock",NA,"67931","6367","9.3719999999999999"
"157","E10000003",NA,"Cambridgeshire",NA,"283756","26213","9.23"
"158","E07000008",NA,NA,"Cambridge","53730","4780","8.8960000000000008"
"159","E07000009",NA,NA,"East Cambridgeshire","37996","3886","10.227"
"160","E07000010",NA,NA,"Fenland","44959","5037","11.202999999999999"
"161","E07000011",NA,NA,"Huntingdonshire","78570","6501","8.2739999999999991"
"162","E07000012",NA,NA,"South Cambridgeshire","68501","6009","8.7720000000000002"
"163","E10000012",NA,"Essex",NA,"640632","59718","9.32"
"164","E07000066",NA,NA,"Basildon","78095","6172","7.9029999999999996"
"165","E07000067",NA,NA,"Braintree","66404","6661","10.031000000000001"
"166","E07000068",NA,NA,"Brentwood","33074","2630","7.9509999999999996"
"167","E07000069",NA,NA,"Castle Point","38251","3533","9.2360000000000007"
"168","E07000070",NA,NA,"Chelmsford","77113","5725","7.4240000000000004"
"169","E07000071",NA,NA,"Colchester","81586","7611","9.3279999999999994"
"170","E07000072",NA,NA,"Epping Forest","55813","4933","8.8379999999999992"
"171","E07000073",NA,NA,"Harlow","38737","3260","8.4149999999999991"
"172","E07000074",NA,NA,"Maldon","28501","2952","10.356999999999999"
"173","E07000075",NA,NA,"Rochford","36354","2877","7.9130000000000003"
"174","E07000076",NA,NA,"Tendring","68971","9901","14.355"
"175","E07000077",NA,NA,"Uttlesford","37733","3463","9.1769999999999996"
"176","E10000015",NA,"Hertfordshire",NA,"493745","40720","8.24"
"177","E07000095",NA,NA,"Broxbourne","40742","3314","8.1340000000000003"
"178","E07000096",NA,NA,"Dacorum","64836","5338","8.2330000000000005"
"179","E07000242",NA,NA,"East Hertfordshire","63410","5002","7.8879999999999999"
"180","E07000098",NA,NA,"Hertsmere","43637","3627","8.3109999999999999"
"181","E07000099",NA,NA,"North Hertfordshire","58010","4932","8.5009999999999994"
"182","E07000240",NA,NA,"St Albans","60296","4597","7.6239999999999997"
"183","E07000243",NA,NA,"Stevenage","37328","2943","7.8840000000000003"
"184","E07000102",NA,NA,"Three Rivers","37697","3156","8.3719999999999999"
"185","E07000103",NA,NA,"Watford","40490","3884","9.5920000000000005"
"186","E07000241",NA,NA,"Welwyn Hatfield","47299","3927","8.3019999999999996"
"187","E10000020",NA,"Norfolk",NA,"413390","50086","12.11"
"188","E07000143",NA,NA,"Breckland","61691","7075","11.468"
"189","E07000144",NA,NA,"Broadland","59072","5799","9.8160000000000007"
"190","E07000145",NA,NA,"Great Yarmouth","45562","6697","14.698"
"191","E07000146",NA,NA,"King’s Lynn and West Norfolk","68947","9069","13.153"
"192","E07000147",NA,NA,"North Norfolk","49507","6693","13.519"
"193","E07000148",NA,NA,"Norwich","65857","8058","12.234999999999999"
"194","E07000149",NA,NA,"South Norfolk","62754","6695","10.667999999999999"
"195","E10000029",NA,"Suffolk",NA,"340991","39163","11.48"
